66524;66745;69737;72316;71606;69919;73127;74466;73982;69562;67056;66301;65450;0
59609;63219;61167;63841;65529;61480;60072;58012;60108;61192;65503;67938;65589;0
44369;44635;42593;44258;44580;43541;45072;44209;45282;43480;46896;48192;44346;0
59666;63869;65111;61691;64909;57356;58620;59392;59098;62096;63040;66338;66397;0
53515;54575;55640;56221;55092;57278;54631;51375;53587;54154;54539;55494;53394;0
80512;80283;85030;83246;90043;90382;90912;90114;89836;93308;94444;93214;90569;0
59745;61584;58480;54748;56722;58830;61195;60230;60221;60534;62662;62899;58828;0
58137;62135;66320;63539;61857;64316;63965;59961;60553;59284;58747;59633;61543;0
39175;38015;39389;38519;39729;37065;36473;37731;37209;38530;40490;39027;39143;0
50161;49652;49410;50164;50952;50471;50339;49288;49864;48294;46903;49332;46970;0
66366;63799;64146;64706;65105;65845;65080;65334;65811;68683;68276;67558;66290;0
64607;66534;68618;67506;69538;68101;69584;65190;62985;68159;68594;67738;63934;0
60391;60668;61837;59816;60710;63761;63330;64151;65204;64302;61843;60699;58767;0
44026;43630;43317;42830;47919;53262;50993;51383;50108;50770;49638;46172;45180;0
48750;50974;52012;50776;51616;51074;49566;52717;53216;56301;57081;58825;59521;0
74772;77315;80541;82673;83446;83940;82989;84214;86224;85218;88348;87635;89060;0
57926;58722;57875;60427;64991;68275;72080;76422;79209;81126;80767;74749;73924;0
38812;39500;38328;38128;34945;38318;40645;40362;42768;39388;41908;40699;39763;0
57958;55610;57933;57876;56109;56342;57961;59666;57414;55932;54204;56611;56485;0
41587;41352;42335;43992;42343;42427;43206;45909;46479;49009;48609;48425;52160;0
22490;21466;20745;20652;21130;20566;20959;21970;21178;19229;19663;19372;20089;0
51550;51546;52128;55428;59538;59779;64094;68533;77104;81016;78995;84492;88611;0
35817;35389;35922;35821;36978;38099;38228;40930;40921;40315;39901;40298;40270;0
84072;84957;84478;85787;86462;86261;86856;87080;88130;87998;88678;86866;86729;0
27862;28990;28359;27970;28184;29299;28192;27241;26747;28151;29027;30624;30713;0
635197;629149;631942;633412;628016;639730;648535;649782;663076;689865;690212;682880;684369;0 
47743;48085;46548;48558;51981;52437;53051;54266;53710;54738;56081;55579;51882;0
28018;28677;28130;27609;30276;31240;30309;31100;32711;32231;31967;32895;31689;0
42146;41235;43432;43373;46144;46929;51311;51001;51009;51548;52825;51497;52713;0
80984;81679;81679;81578;82790;82356;85900;88162;96786;95428;92539;92865;89132;0
37977;36512;39120;41699;38916;39054;41530;40671;45607;46941;44361;46885;48609;0
38270;35982;38090;39056;39028;39530;40639;39519;39420;40497;40533;41508;43021;0
63935;60149;59649;63443;62126;63099;60148;59727;61123;61310;63308;59992;64812;0
39978;39486;42468;43765;46958;48891;51544;54898;56297;60260;63201;65560;67421;0
22704;22849;22817;23455;23686;23515;24518;25437;24800;24718;25997;27253;26098;0
69068;67404;68724;70082;69332;69387;73456;71629;72335;72213;72239;74977;73816;0
97164;94363;96492;94282;95588;98825;100247;101788;110686;113025;113133;111610;108871;0
26331;27346;28120;28374;30131;31524;31729;30237;31555;33012;33132;33303;33876;0
51830;51012;48829;52558;51874;54822;53025;52690;52924;53360;53212;53841;53494;0
45543;49774;52570;52209;50941;50195;50970;51354;50250;51815;48585;50752;49135;0
57874;55565;59229;58158;58333;59297;58100;58584;59481;60787;61200;60212;61255;0
45310;43527;48856;46745;48321;48667;48607;47899;49423;49965;51149;51964;48723;0
87673;87881;91425;92076;90176;88016;89290;85549;89009;92366;93482;89598;88142;0
35779;34371;32707;36170;39525;38196;38068;39289;38202;39547;39957;39991;40229;0
30240;30259;30443;31319;31755;31358;32965;30915;32537;32693;31836;31893;33000;0
140331;140725;136079;133345;136615;137532;139000;141804;140122;141634;141717;139552;136469;0
172194;170670;174798;173597;177161;178115;173353;175628;172343;176707;172424;170094;171726;0
46379;47191;46550;45778;47828;48370;46115;48218;48842;50931;49803;47592;45078;0
52911;53240;53039;52763;53321;53058;53867;54613;55772;54304;52822;52653;51032;0
46076;46121;44608;43894;43217;45102;44466;45674;46685;45194;46160;46160;43886;0
50963;51058;53182;52213;53082;53211;53569;53407;52325;55076;53745;51606;53955;0
115442;117238;117797;115221;111193;116713;120602;120075;120544;122383;119117;120646;122889;0 
33842;32746;33275;34981;34114;34410;35612;36756;37089;36109;37052;36563;35142;0
54020;51242;56425;58122;55358;53661;55478;55402;54411;56197;54918;55219;53528;0 
98380;97344;102544;102785;103128;107360;106848;107717;107740;106647;106288;106971;107208;0
37130;37407;37146;37364;36220;36862;40085;40705;40818;39980;37902;38893;37966;0
78816;74889;77324;74951;76699;79498;79312;76480;79119;77756;78942;80289;80765;0
50481;50818;51648;50964;50606;50189;51223;53570;51667;52673;53012;55006;54262;0
57538;57488;58603;56971;59468;58282;59116;59131;61474;59493;60854;58847;58663;0
91045;92128;90742;89186;93342;94429;94352;95492;98756;100905;98464;100509;97673;0
35024;34935;33966;34314;35604;36747;36457;37950;39334;39594;36547;35621;37689;0
64990;65745;68172;69162;68128;67175;69408;68699;66104;69207;69252;67892;68199;0
73866;72352;72978;75280;75385;74438;74899;76170;75719;76243;77497;73923;75616;0
57023;56263;54948;57706;57676;58242;58613;59600;59097;58319;60200;59709;57365;0
25290;25000;26304;26366;26700;26172;27233;27003;27244;27184;27651;28768;27303;0
58090;57444;58432;58057;59554;60500;61179;62698;62078;62761;61588;61723;61778;0
51643;50434;49717;52530;50677;50365;52380;55639;56402;53054;51371;55694;54214;0
44199;44008;43854;44062;44341;45157;45986;46427;45638;45434;45979;46215;47921;0
204670;197183;198190;194542;193148;202105;203785;207475;208297;217695;223982;219077;217608;0
48020;45718;46801;47690;46907;49843;49188;48976;46739;48193;48767;50031;48055;0
97555;95873;95978;99349;105255;99883;101994;101414;102148;100965;101224;103546;101505;0
55958;53326;54444;56838;56293;58391;56262;57652;57665;57915;61078;58039;56584;0
87567;87172;87738;91498;94657;95113;96637;98215;100337;103379;101264;104387;106605;0
31872;33770;33430;32909;32859;33138;34531;36390;36165;35402;34521;34862;35038;0
70832;73232;72532;70750;70357;70463;73977;74417;74642;75621;73472;71011;71702;0
60373;58785;57770;58124;59992;58513;59226;59839;61280;59662;60499;61198;60542;0
77612;78893;79277;78840;81203;79957;77373;78919;77988;78758;80858;80077;80311;0
